,gene,locus_tag,product,length,strand,counts,coverage,RPKM,TPM,coverage_FPKM,coverage_TPM,htseq_counts,htseq_FPKM,htseq_TPM
0,yrdA,HHKABJCC_00006,hexapeptide repeat-containing protein YrdA,555,+,509,86876.02870590487,151.09486410894527,131.8405817310617,156.53338505568445,153.94497177982527,500.0,146.2405788875989,141.35574864556006
1,HHKABJCC_00007,HHKABJCC_00007,hypothetical protein,258,-,191,18340.238522195952,121.96593921710561,106.42360660362462,71.08619582246493,69.91072483311824,140.0,88.08444170206538,85.14218348651174
2,aroE,HHKABJCC_00008,shikimate dehydrogenase,819,-,804,127249.05207941958,161.7324070580433,141.12256400669355,155.37124796021925,152.80205161425144,711.5,141.0203794690654,136.30991798420115
3,tsaC,HHKABJCC_00009,threonylcarbamoyl-AMP synthase,573,-,625,98544.83015846455,179.70091918860302,156.8013172595275,171.9805063847549,169.13666175853075,562.0,159.2108166172111,153.89274541025006
4,yrdD,HHKABJCC_00010,putative DNA topoisomerase,543,-,682,113907.95320280525,206.92332495333312,180.55472432141946,209.77523610093047,206.30642332417375,648.5,193.86572210599402,187.3900834738061
5,HHKABJCC_00011,HHKABJCC_00011,hypothetical protein,474,-,388,60417.51404761347,134.85848829598982,117.67323564019308,127.4631098050917,125.35539837034297,303.0,103.76602088030832,100.29995557375784
6,smf,HHKABJCC_00012,protein Smf,1125,-,289,37793.566731103434,42.32239376337791,36.92917722201028,33.59428153875861,33.038771388020216,214.0,30.87821076352021,29.84679514068118
7,def,HHKABJCC_00013,peptide deformylase,510,+,1164,197064.80663971382,376.01719677823036,328.1006687850089,386.4015816464977,380.0121013232364,1106.5,352.18602470280837,340.4220604366795
8,fmt,HHKABJCC_00014,10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase,948,+,1319,214043.41870304575,229.22467276083833,200.0141724348127,225.7841969441411,222.0506623205749,1254.0,214.72374617806372,207.55139321698402
9,rsmB,HHKABJCC_00015,16S rRNA m(5)C967 methyltransferase,1290,+,735,124248.8581870073,93.86907363829596,81.90717366875823,96.3169443310134,94.72426135601802,720.0,90.60114003641013,87.5748173004121
10,trkA,HHKABJCC_00016,NAD-binding component of Trk potassium transporters,1377,+,769,133576.0881933588,92.00624421613185,80.28172785276564,97.00514756235206,95.40108455887362,761.5,89.76909434526237,86.77056418219995
11,mscL,HHKABJCC_00017,large conductance mechanosensitive channel,411,+,618,102500.11536100568,247.72598072040088,216.15782641378232,249.39200817762938,245.268098223018,616.0,243.29308569387987,235.1664396444967
12,arfA,HHKABJCC_00018,alternative ribosome-rescue factor A,219,-,33,3868.2973322877724,24.825312737441426,21.66177978491621,17.66345813830033,17.371377764988946,28.5,21.12475211465384,20.419128348868913
13,zntR,HHKABJCC_00019,DNA-binding transcriptional activator ZntR,426,-,59,6868.491224700041,22.81746093900133,19.90979204729708,16.12321883732404,15.856607636951248,46.0,17.528272201879815,16.942780577094595
14,HHKABJCC_00020,HHKABJCC_00020,hypothetical protein,369,-,91,14672.545870288406,40.629355140385165,35.451885467159,39.76299693845097,39.10548180756167,82.5,36.29263146783705,35.08035957240424
15,rplQ,HHKABJCC_00021,50S ribosomal subunit protein L17,384,-,19281,2228380.6991192764,8272.242047115149,7218.095797918269,5803.074737289782,5707.115937922731,15842.0,6696.835959162628,6473.1435540304365
16,rpoA,HHKABJCC_00022,RNA polymerase subunit alpha,990,-,55797,7074696.8587669935,9285.39872921987,8102.14415483056,7146.158443198983,7027.990607122422,49634.0,8138.323667356428,7866.481680185695
17,rpsD,HHKABJCC_00023,30S ribosomal subunit protein S4,621,-,34205,3171991.385637366,9074.50402861154,7918.1241341887435,5107.876627435372,5023.413522844609,31137.5,8139.224296095004,7867.35222549235
18,rpsK,HHKABJCC_00024,30S ribosomal subunit protein S11,390,-,26485,3637138.6062967107,11188.201345718635,9762.469311201849,9325.996426401822,9171.783106654559,23522.0,9790.40178261398,9463.37592513169
19,rpsM,HHKABJCC_00025,30S ribosomal subunit protein S13,357,-,23996,3023962.8841433395,11073.771052884655,9662.621070403871,8470.484269309074,8330.417574093633,21344.5,9705.29288524833,9381.109894765612
20,rpmJ,HHKABJCC_00026,50S ribosomal subunit protein L36,117,-,3424,430162.11945356487,4821.395935780077,4206.997032478148,3676.5993115689307,3615.803600387611,3208.5,4451.506974962015,4302.814621175215
21,secY,HHKABJCC_00027,Sec translocon subunit SecY,1332,-,41793,6194482.57703703,5169.2105891495985,4510.489057208792,4650.512445222996,4573.612248191664,37740.5,4599.327139589522,4445.697193131466
22,rplO,HHKABJCC_00028,50S ribosomal subunit protein L15,435,-,18986,2583683.5428005094,7190.666101821022,6274.346963999707,5939.502397242551,5841.287649944069,13733.0,5124.683392065216,4953.505128105559
23,rpmD,HHKABJCC_00029,50S ribosomal subunit protein L30,180,-,11441,1045532.0662525112,10471.680515718139,9137.255981769456,5808.511479180618,5712.462778640838,6903.5,6225.692990828324,6017.7380331101795
24,rpsE,HHKABJCC_00030,30S ribosomal subunit protein S5,504,-,19326,2859770.6161461095,6317.37041113941,5512.336868145783,5674.148047908948,5580.321161515523,15613.5,5028.756506135503,4860.782459206293
25,rplR,HHKABJCC_00031,50S ribosomal subunit protein L18,354,-,13250,1881570.7119950256,6166.482728631283,5380.677066502363,5315.1715028108065,5227.28060032729,10960.5,5025.94788145835,4858.067650177751
26,rplF,HHKABJCC_00032,50S ribosomal subunit protein L6,534,-,21709,3302522.8983718567,6697.665668683939,5844.170436943217,6184.499809685125,6082.233820827587,19803.5,6019.931811686567,5818.849832988028
27,rpsH,HHKABJCC_00033,30S ribosomal subunit protein S8,393,-,16437,2528069.8895060723,6890.566176027921,6012.489295790133,6432.7478104480215,6326.376828776,15294.0,6317.124145019596,6106.115139851317
