,gene,locus_tag,product,length,strand,counts,coverage,RPKM,TPM,coverage_FPKM,coverage_TPM,htseq_counts,htseq_FPKM,htseq_TPM
0,yrdA,HHKABJCC_00006,hexapeptide repeat-containing protein YrdA,555,+,223,42870.46955576737,66.53385375696041,60.320714314777,77.24408928967094,75.69878271066383,222.0,68.28939337678246,66.20593566063273
1,HHKABJCC_00007,HHKABJCC_00007,hypothetical protein,258,-,128,14024.517783135841,82.15255276696331,74.48089034174154,54.35859605866605,53.27112519989215,92.0,60.878141382402966,59.02079535637801
2,aroE,HHKABJCC_00008,shikimate dehydrogenase,819,-,653,119931.86422783235,132.02618642076254,119.6971680348993,146.43695265913595,143.5074082961322,587.0,122.3622524791554,118.62907274966855
3,tsaC,HHKABJCC_00009,threonylcarbamoyl-AMP synthase,573,-,477,86962.47481168735,137.84612318416103,124.97362089328048,151.76697174814547,148.73079769165676,438.0,130.5006732069403,126.51919641953374
4,yrdD,HHKABJCC_00010,putative DNA topoisomerase,543,-,708,134841.84446247912,215.90575936096607,195.74380400241535,248.3275220303483,243.35960594678923,679.5,213.64016021880147,207.12216059576397
5,HHKABJCC_00011,HHKABJCC_00011,hypothetical protein,474,-,510,92088.0949571382,178.16509910794161,161.5274846909011,194.2786813441734,190.39203930848146,417.5,150.37353235657528,145.78574967465275
6,smf,HHKABJCC_00012,protein Smf,1125,-,276,38942.236134518826,40.62443734326336,36.83080027399119,34.61532100846118,33.92282422610904,194.0,29.440316255768437,28.54211448480611
7,def,HHKABJCC_00013,peptide deformylase,510,+,1046,199782.4656221568,339.61925720151436,307.904548326365,391.73032474932705,383.89356398745645,987.5,330.56752921359157,320.48216404350404
8,fmt,HHKABJCC_00014,10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase,948,+,1002,181900.14893096074,175.02100912368383,158.67699966694406,191.87779423097123,188.03918314089086,941.0,169.46286700303875,164.29268316628534
9,rsmB,HHKABJCC_00015,16S rRNA m(5)C967 methyltransferase,1290,+,639,123447.5526432633,82.02418940326494,74.36451395058256,95.69577724283977,93.78133543225668,629.5,83.31041304396233,80.7686753844347
10,trkA,HHKABJCC_00016,NAD-binding component of Trk potassium transporters,1377,+,773,152975.71298649075,92.95577006471589,84.27526940594863,111.0934734832903,108.87099307039175,764.0,94.72239749430247,91.83248882484278
11,mscL,HHKABJCC_00017,large conductance mechanosensitive channel,411,+,800,149695.4770865752,322.31384753461884,292.21517196121226,364.222571986801,356.93611755527263,795.0,330.2315555629079,320.15644069466555
12,arfA,HHKABJCC_00018,alternative ribosome-rescue factor A,219,-,38,5703.183153595489,28.732292641527838,26.049181253939572,26.041932208198578,25.520950350020755,36.0,28.06413426443115,27.207918764643587
13,zntR,HHKABJCC_00019,DNA-binding transcriptional activator ZntR,426,-,78,12259.63012410153,30.319064918617403,27.48777577092882,28.7784744697219,28.202746717076934,66.0,26.45011715297912,25.643144093907043
14,HHKABJCC_00020,HHKABJCC_00020,hypothetical protein,369,-,110,19884.66928040827,49.36249677181612,44.75287237251492,53.88799262983271,52.809936427654115,96.0,44.415865610915425,43.060771161387144
15,rplQ,HHKABJCC_00021,50S ribosomal subunit protein L17,384,-,10122,1485355.2127509587,4364.815671583217,3957.2155270607473,3868.1125332056217,3790.729010390216,8253.0,3669.2211167876667,3557.2759570781373
16,rpoA,HHKABJCC_00022,RNA polymerase subunit alpha,990,-,32321,5355938.99116216,5406.054180548482,4901.219926118533,5410.039385012284,5301.808845546722,28660.0,4942.358621663095,4791.571000085188
17,rpsD,HHKABJCC_00023,30S ribosomal subunit protein S4,621,-,20372,2570743.0113250995,5432.163920112379,4924.891456506961,4139.682787963123,4056.8663665894123,18407.5,5060.535461284715,4906.142353756429
18,rpsK,HHKABJCC_00024,30S ribosomal subunit protein S11,390,-,16272,2576884.9008751246,6908.871702023218,6263.699645259038,6607.3971817310885,6475.2129016271165,14148.5,6193.5415525090175,6004.581286502964
19,rpsM,HHKABJCC_00025,30S ribosomal subunit protein S13,357,-,16098,2513334.858247252,7466.799784799205,6769.526657959333,7040.153664558129,6899.311874913035,14141.0,6762.467169055187,6556.149413004254
20,rpmJ,HHKABJCC_00026,50S ribosomal subunit protein L36,117,-,2141,301749.50415762956,3030.1323979907625,2747.1691536585536,2579.055591090851,2527.460296108576,2005.5,2926.375607203787,2837.094101867499
21,secY,HHKABJCC_00027,Sec translocon subunit SecY,1332,-,25853,4426149.081879782,3213.938193532693,2913.8105889012136,3322.9347461559923,3256.457777211615,23546.5,3017.9733505000154,2925.89726732937
22,rplO,HHKABJCC_00028,50S ribosomal subunit protein L15,435,-,11749,1907467.237874201,4472.418612687417,4054.77016884485,4384.982156032646,4297.258398307508,8684.0,3408.1901843906826,3304.208880901923
23,rpmD,HHKABJCC_00029,50S ribosomal subunit protein L30,180,-,7249,759740.8702990278,6668.626501388499,6045.889293164903,4220.7826127723765,4136.343748905182,4378.5,4152.848734725583,4026.1484623622277
24,rpsE,HHKABJCC_00030,30S ribosomal subunit protein S5,504,-,11807,1977340.2873717272,3879.1790543471025,3516.929176654811,3923.2942209756493,3844.806760940763,9482.0,3211.9049007869608,3113.91211276845
25,rplR,HHKABJCC_00031,50S ribosomal subunit protein L18,354,-,8721,1422483.3538643566,4079.376820083362,3698.4318486260736,4018.3145589388605,3937.926169593469,7324.5,3532.38461714861,3424.6142354965
26,rplF,HHKABJCC_00032,50S ribosomal subunit protein L6,534,-,14290,2583358.8388444674,4431.20427481706,4017.40455480073,4837.750634540201,4740.969017307121,13126.5,4196.63259438359,4068.5965095940796
27,rpsH,HHKABJCC_00033,30S ribosomal subunit protein S8,393,-,9299,1600499.5424966444,3918.0908029269626,3552.2072244009723,4072.51791983879,3991.0451651914937,8568.5,3722.2497910239217,3608.6867665911673
28,rpsN,HHKABJCC_00034,30S ribosomal subunit protein S14,306,-,14642,2205556.1597606977,7923.367055361015,7183.458248238744,7207.699868499012,7063.506233377864,12258.5,6839.260855468037,6630.600182155771
29,rplE,HHKABJCC_00035,50S ribosomal subunit protein L5,540,-,17709,3117578.4599876455,5430.390707366024,4923.2838319150815,5773.293444421566,5657.795826102229,15524.0,4907.983994357273,4758.245116646586
30,rplX,HHKABJCC_00036,50S ribosomal subunit protein L24,315,-,5021,885981.6544938756,2639.431934530607,2392.953521942414,2812.6401729964305,2756.3719018098573,4374.5,2370.8885025931336,2298.5544884717287
31,rplN,HHKABJCC_00037,50S ribosomal subunit protein L14,372,-,4304,778096.1044359172,1915.8439069666626,1736.9364084333151,2091.6561947202076,2049.8115680510923,4013.0,1841.7025243348653,1785.5135739658542
32,rpsQ,HHKABJCC_00038,30S ribosomal subunit protein S17,255,-,7215,1147003.9107113269,4685.187267129877,4247.6698206017645,4498.054551809125,4408.0687243424145,6232.0,4172.348034550081,4045.052853304541
33,rpmC,HHKABJCC_00039,50S ribosomal subunit protein L29,192,-,5616,900716.5546528827,4843.47062074913,4391.172179405879,4691.232055483764,4597.381615590528,4002.0,3558.5176079932735,3449.9499285657835
34,rplP,HHKABJCC_00040,50S ribosomal subunit protein L16,411,-,7573,1265826.9344601077,3051.103459224586,2766.1818715778254,3079.870886764252,3018.256531703875,6437.0,2673.8371360483497,2592.2603883667452
35,rpsC,HHKABJCC_00041,30S ribosomal subunit protein S3,702,-,13358,2356249.7945198854,3150.9036721439056,2856.6624283489778,3356.4811887747655,3289.333106493979,12118.0,2947.047254059294,2857.1350724200406
36,rplV,HHKABJCC_00042,50S ribosomal subunit protein L22,333,-,7839,1315569.8000883977,3898.0484275098106,3534.0364687110377,3950.6600603255188,3871.6251330089763,6735.5,3453.1772454153024,3347.823420737175
37,rpsS,HHKABJCC_00043,30S ribosomal subunit protein S19,279,-,9649,1591288.720586268,5726.758940000411,5191.976271676907,5703.543801384473,5589.4415595044175,8422.0,5153.523933864353,4996.293818403663
38,rplB,HHKABJCC_00044,50S ribosomal subunit protein L2,822,-,18857,3413862.2459218577,3798.670139350192,3443.938436045362,4153.117087496177,4070.0319062517287,16826.0,3494.6390905040803,3388.0202963071965
39,rplW,HHKABJCC_00045,50S ribosomal subunit protein L23,303,-,11981,1904062.232265209,6547.586415863623,5936.152309549726,6284.033769852175,6158.31853627826,10415.0,5868.267590917404,5689.231187339026
40,rplD,HHKABJCC_00046,50S ribosomal subunit protein L4,606,-,10839,2008625.2857153388,2961.7431417054427,2685.166300108901,3314.563177748084,3248.2536862101506,10056.0,2832.995626224935,2746.56307344605
41,rplC,HHKABJCC_00047,50S ribosomal subunit protein L3,630,-,14770,2698068.4870230476,3882.135996118011,3519.6099899511505,4282.648392100075,4196.971872424007,13860.5,3756.052130551164,3641.4578223182534
42,rpsJ,HHKABJCC_00048,30S ribosomal subunit protein S10,312,-,15632,2439447.0414979886,8296.420418973308,7521.674721506981,7818.740517621758,7662.3227091843955,14993.0,8204.029446298873,7953.730716024571
43,gspB,HHKABJCC_00049,putative general secretion pathway protein B,420,-,43,8244.862872364405,16.953132819878924,15.369996232352689,19.630625886581917,19.23790541293114,41.5,16.86910610200281,16.354442439977728
44,gspA,HHKABJCC_00050,Type II secretion system protein GspA,1470,-,15,2692.6108184582804,1.6896810119480656,1.53189331219462,1.8317080397675376,1.7950638057464952,13.5,1.5678687254873522,1.5200342371063638
45,gspC,HHKABJCC_00051,Type II secretion system protein GspC,816,+,24,4211.983888664559,4.870257034438542,4.4154571939727285,5.161744961598725,5.0584816760623665,20.5,4.289009081568752,4.158154660058122
46,gspD,HHKABJCC_00052,Type II secretion system protein GspD,1953,+,81,15793.430271495205,6.8677357259824605,6.226405075371682,8.086753851252025,7.924974302239699,77.5,6.774741406426831,6.568049172681818
47,gspE,HHKABJCC_00053,Type II secretion system protein GspE,1482,+,57,11011.933033336107,6.3687976604196335,5.774059407502801,7.430454138553379,7.2818041930247634,55.5,6.393490776672448,6.198430211142235
48,gspF,HHKABJCC_00054,Type II secretion system protein GspF,1197,+,25,4688.926163682955,3.458411427963877,3.1354541477667666,3.9172315486073144,3.8388653753606254,23.5,3.3517141694953794,3.249455906484689
49,gspG,HHKABJCC_00055,Type II secretion system protein GspG,438,+,3,587.625081457263,1.134169446376099,1.0282571547607726,1.3416097750165823,1.31477020151836,3.0,1.1693389276846313,1.1336632818601498
50,gspH,HHKABJCC_00056,Type II secretion system protein GspH,510,+,5,887.4748661734692,1.623419011479514,1.4718190646575762,1.740146796418567,1.7053342907929316,4.5,1.5063836774290247,1.4604250513374863
51,gspI,HHKABJCC_00057,Type II secretion system protein GspI,378,+,2,319.97393134145483,0.8761308950841822,0.7943150507675808,0.8464918818557006,0.8295573890532507,1.5,0.6774741406426832,0.6568049172681818
52,gspJ,HHKABJCC_00058,Type II secretion system protein GspJ,588,+,3,569.5133494945392,0.8448405059740328,0.76594665609731,0.9685601181879918,0.9491835893614691,2.5,0.725865150688589,0.7037195542159091
53,gspK,HHKABJCC_00059,Type II secretion system protein GspK,984,+,7,1048.4680391754591,1.177968672963794,1.0679662725259245,1.06551629997506,1.0442001143156485,6.0,1.0409968502558302,1.0092368240950111
54,gspL,HHKABJCC_00060,Type II secretion system protein GspL,1164,+,16,2974.348871211763,2.276133871765092,2.063581369004437,2.5552825354052944,2.504162832273371,14.5,2.126710060058732,2.0618257454449624
55,gspM,HHKABJCC_00061,Type II secretion system protein GspM,462,+,14,2718.772209071103,5.01784058093668,4.549258927123417,5.884788331322734,5.767060202114623,12.5,4.6191418680182945,4.478215345010331
56,gspO,HHKABJCC_00062,Type II secretion system prepilin peptidase,678,+,6,1014.256989912536,1.465387072308942,1.3285446424342724,1.4959542624078703,1.4660269503656047,5.5,1.3849250131722106,1.3426719990172566
57,bfr,HHKABJCC_00063,bacterioferritin,477,-,277,48195.31875280819,96.15949842839034,87.1798235908494,101.0384040939375,99.01708036529308,271.5,97.1728003238807,94.20813171835316
58,bfd,HHKABJCC_00064,bacterioferritin-associated ferredoxin,195,-,40,6119.752988738139,33.966920855571374,30.7949835066816,31.383348660195583,30.75550909859486,34.5,30.20492399357686,29.283394619126017
59,chiA,HHKABJCC_00065,endochitinase,2694,-,215,42761.79916399103,13.215136941999162,11.981066105397419,15.872976675572025,15.555429850814939,214.0,13.561553621595626,13.147800882865075
60,tufA,HHKABJCC_00066,translation elongation factor Tu 1,1185,-,45224,7506685.025174331,6319.48113102553,5729.34820993044,6334.7552955057645,6208.025352482743,13922.0,2005.7488071552013,1944.5549288340274
61,fusA,HHKABJCC_00067,elongation factor G,2115,-,53788,9722146.289903976,4211.199575661906,3817.9445828273174,4596.759475131904,4504.799006384627,52179.0,4211.905741143182,4083.4036842034934
62,rpsG,HHKABJCC_00068,30S ribosomal subunit protein S7,471,-,9618,1593494.3270563954,3381.3853361906936,3065.6209934509766,3383.215131754555,3315.532223594541,9469.0,3432.23071064094,3327.51594888817
63,rpsL,HHKABJCC_00069,30S ribosomal subunit protein S12,375,-,4102,694178.4130086299,1811.3200215441989,1642.1732904773028,1851.1424346896797,1814.1094058934204,3980.0,1811.9452375972944,1756.664159528788
64,tusB,HHKABJCC_00070,sulfurtransferase complex subunit TusB,288,-,186,26527.650081402877,106.942727381213,96.95608088431786,92.10989611598221,90.26719164799488,163.0,96.6247493091627,93.67680132537444
65,tusC,HHKABJCC_00071,sulfurtransferase complex subunit TusC,360,-,172,30486.069722589305,79.11461982610166,71.72664908431256,84.68352700719251,82.98939076167346,142.0,67.34092957988271,65.28640877645728
66,tusD,HHKABJCC_00072,sulfurtransferase complex subunit TusD,387,-,337,47698.25233116455,144.1948452211804,130.72947940191094,123.25129801334509,120.78559424956654,248.0,109.40419610750679,106.06635687233153
67,yheO,HHKABJCC_00073,DNA-binding transcriptional regulator YheO,723,-,1270,235840.9115452775,290.86818637213867,263.7060050286894,326.1976646546023,319.6719174824505,1178.0,278.16357329823563,269.67701316813753
68,fkpA,HHKABJCC_00074,peptidyl-prolyl cis-trans isomerase FkpA,813,-,1025,203167.34708452362,208.76809059063123,189.27267307496876,249.89833589732302,244.89899489795027,1019.0,213.98183225996718,207.45340848150292
69,slyX,HHKABJCC_00075,protein SlyX,219,+,18,3205.776557402123,13.610033356513188,12.339085857129273,14.63824912055764,14.345403637114707,18.0,14.032067132215575,13.603959382321793
70,slyD,HHKABJCC_00076,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,591,-,1107,216745.10881257892,310.1636789546495,281.19962414000946,366.74299291468515,359.4061162038919,1092.0,315.44846686737077,305.82437284860805
71,HHKABJCC_00077,HHKABJCC_00077,hypothetical protein,201,-,115,14213.68476141318,94.73982589380448,85.892724519569,70.71484955926955,69.3001636815237,111.5,94.70481792924433,91.8154455990118
72,kefB,HHKABJCC_00078,K(+) : H(+) antiporter KefB,1806,-,154,29592.55761242826,14.11997000682182,12.801403027486828,16.38569081529804,16.05788688814575,147.5,13.943363127180804,13.517961669356765
73,kefG,HHKABJCC_00079,glutathione-regulated potassium-efflux system ancillary protein KefG,552,-,113,22426.34899917719,33.89769479404507,30.73222199138266,40.62744383908911,39.81467153728425,112.0,34.63954736503458,33.58272098727747
74,yheS,HHKABJCC_00080,putative ATP-binding protein YheS,1914,+,782,153750.4926315628,67.6543333498704,61.33656001742263,80.32941098827733,78.72238100799701,761.0,67.87908615429917,65.80814660102077
75,yheT,HHKABJCC_00081,putative hydrolase YheT,1023,+,353,62340.58141569552,57.13863629260155,51.802851654018276,60.93898476607578,59.71986994521371,304.5,50.816520731256745,49.2661471374943
76,HHKABJCC_00082,HHKABJCC_00082,hypothetical protein,219,+,174,14274.057201288924,131.56365577962748,119.27782995224963,65.17834338488093,63.87441807787483,107.5,83.8026231507319,81.24586853331071
77,prkB,HHKABJCC_00083,putative phosphoribulokinase,870,+,574,98163.57482330079,109.25050147597999,99.0483478133009,112.83169519919632,110.57444079286911,534.0,104.78889673333859,101.59186678959159
78,yhfA,HHKABJCC_00084,OsmC family protein YhfA,405,-,205,30377.399330812965,83.81652229638676,75.98947319009856,75.00592427361227,73.5053933034061,201.0,84.72943252304489,82.14440165300726
79,crp,HHKABJCC_00085,DNA-binding transcriptional dual regulator CRP,633,+,6507,1142956.9448249894,1702.18945621661,1543.233678799587,1805.619186137424,1769.4968726610357,6228.5,1679.859741892929,1628.6084923469627
80,yhfK,HHKABJCC_00086,putative transporter YhfK,2091,+,1291,182284.52013150303,102.23580213756354,92.68870304746005,87.17576285581207,85.43176818761339,1049.5,85.68832896811715,83.07404289315404
81,argD,HHKABJCC_00087,N-acetylornithine aminotransferase/N-succinyldiaminopimelate aminotransferase,1221,-,3125,607040.8581213029,423.80410311965204,384.22794992596437,497.166959968307,487.22088666782577,3105.0,434.1493989248762,420.90382929210614
82,pabA,HHKABJCC_00088,aminodeoxychorismate synthase subunit 2,564,-,143,27640.51538977913,41.98437890326275,38.063746235984766,49.00800601024669,48.027576377273064,140.5,42.529520254600776,41.231976774463206
83,fic,HHKABJCC_00089,putative adenosine monophosphate--protein transferase Fic,603,-,339,47189.11142154574,93.09217674782526,84.39893800618519,78.2572328715518,76.69165784926372,231.5,65.54309521859511,63.54342498107992
84,HHKABJCC_00090,HHKABJCC_00090,hypothetical protein,168,-,226,26912.021281945126,222.7562800751533,201.95460165765743,160.190602868721,156.98590986522342,122.0,123.97776773761102,120.19529986007727
85,ppiA,HHKABJCC_00091,peptidyl-prolyl cis-trans isomerase A,573,-,806,158761.40514124974,232.92238005541677,211.1713594129645,277.0705150807151,271.5275810680234,798.0,237.7615005003159,230.50757703832863
86,tsgA,HHKABJCC_00092,putative transporter TsgA,1182,+,23,4578.243357244087,3.2221159060329443,2.9212246410208746,3.8733023326938127,3.795814985348057,23.0,3.3220305576691973,3.2206779191932164
87,nirB,HHKABJCC_00093,nitrite reductase catalytic subunit NirB,2544,+,11,2183.4699088394873,0.7159890451572385,0.6491277478560536,0.8582821968708676,0.8411118329289035,11.0,0.7381911626814142,0.7156695089101416
