,gene,locus_tag,product,length,strand,counts,coverage,RPKM,TPM,coverage_FPKM,coverage_TPM,htseq_counts,htseq_FPKM,htseq_TPM
0,yrdA,HHKABJCC_00006,hexapeptide repeat-containing protein YrdA,555,+,306,62367.75436455849,91.32326756638976,85.12025097179291,112.37433218839367,108.03045790342546,305.0,92.89255177926012,91.72975792633359
1,HHKABJCC_00007,HHKABJCC_00007,hypothetical protein,258,-,160,16156.274269583953,102.71958960195839,95.74249235313385,62.62121809916261,60.20057013003115,110.5,72.39633967775544,71.49010966103982
2,aroE,HHKABJCC_00008,shikimate dehydrogenase,819,-,738,138227.06866960006,149.2538212650434,139.11594561970466,168.7754196210013,162.2513389795494,647.5,133.63798170009156,131.96515195581202
3,tsaC,HHKABJCC_00009,threonylcarbamoyl-AMP synthase,573,-,521,95873.01979807572,150.60385902177183,140.37428378188858,167.3176610786662,160.8499306706032,462.5,136.436682887528,134.72882005959863
4,yrdD,HHKABJCC_00010,putative DNA topoisomerase,543,-,849,170025.15305539547,258.9767995579209,241.3861304099349,313.1218288312992,301.017980614055,819.5,255.10746388686132,251.9141250759283
5,HHKABJCC_00011,HHKABJCC_00011,hypothetical protein,474,-,603,110028.13350372498,210.71331003078947,196.40087691648793,232.12686393190924,223.15390813811027,475.5,169.56890534638026,167.4463058805717
6,smf,HHKABJCC_00012,protein Smf,1125,-,366,54159.42630115795,53.88669670518737,50.226511488454015,48.14171226769596,46.28077532701279,247.5,37.187477286057906,36.72197850100109
7,def,HHKABJCC_00013,peptide deformylase,510,+,1339,269138.2470928744,434.87395665529107,405.3356972217932,527.7220531232831,507.3227483040139,1279.5,424.0764455214892,418.7680168630204
8,fmt,HHKABJCC_00014,10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase,948,+,1267,243845.5094301321,221.3712801069737,206.33491795455245,257.2210015085782,247.2780218952828,1199.5,213.8779200451978,211.20067708070007
9,rsmB,HHKABJCC_00015,16S rRNA m(5)C967 methyltransferase,1290,+,616,124053.05628076568,79.09408399350797,73.72171911191307,96.1651599075703,92.44785759219783,598.0,78.35839118062943,77.3775304566549
10,trkA,HHKABJCC_00016,NAD-binding component of Trk potassium transporters,1377,+,981,202417.4960346783,118.00164619224975,109.98653472037705,146.99890779569958,141.31660683731306,972.0,119.31810893922322,117.8245299497361
11,mscL,HHKABJCC_00017,large conductance mechanosensitive channel,411,+,1023,196852.88376350628,412.27481998180184,384.2715781133217,478.9607877457574,460.44636893783144,1014.0,417.0327578861172,411.81249944719207
12,arfA,HHKABJCC_00018,alternative ribosome-rescue factor A,219,-,67,10581.162729975764,50.673824938911324,47.231869943386755,48.315811552400746,46.448144734964295,62.0,47.854370936811755,47.25534800876023
