,gene,locus_tag,product,length,strand,counts,coverage,RPKM,TPM,coverage_FPKM,coverage_TPM,htseq_counts,htseq_FPKM,htseq_TPM
0,yrdA,HHKABJCC_00006,hexapeptide repeat-containing protein YrdA,555,+,221,42521.07081357576,65.97464192990753,59.85991867476099,76.6145420064428,75.14271377344923,220.0,67.66713822357406,65.68612945651607
1,HHKABJCC_00007,HHKABJCC_00007,hypothetical protein,258,-,152,15472.616017618879,97.61164532616014,88.56471183490892,59.97137991325147,58.81928048387049,108.5,71.78903974591385,69.6873590653234
2,aroE,HHKABJCC_00008,shikimate dehydrogenase,819,-,671,121963.10164530712,135.74266447829666,123.16163632989337,148.91709602601603,146.0562763883019,599.0,124.85071465609987,121.19561165041338
3,tsaC,HHKABJCC_00009,threonylcarbamoyl-AMP synthase,573,-,461,82657.87637816883,133.29812932629326,120.94366786328189,144.25458355701366,141.48333461056575,419.5,124.97566467601196,121.31690366008021
4,yrdD,HHKABJCC_00010,putative DNA topoisomerase,543,-,701,133221.5740299305,213.89268864978524,194.06848712123147,245.3435985818241,240.63034668838324,670.0,210.631385806429,204.4649860907877
5,HHKABJCC_00011,HHKABJCC_00011,hypothetical protein,474,-,558,98853.60569792232,195.044455192862,176.967163205097,208.55191075511038,204.54545738143733,439.0,158.10088120907844,153.4723533892679
6,smf,HHKABJCC_00012,protein Smf,1125,-,337,46255.14755987636,49.63124043583813,45.03127155086545,41.11568671989009,40.325820632481204,229.0,34.748100737475326,33.730822720306705
7,def,HHKABJCC_00013,peptide deformylase,510,+,1014,194479.31396103825,329.4166377330677,298.885337881246,381.3319881588985,374.0062876898069,964.5,322.83466954753675,313.38343032753477
8,fmt,HHKABJCC_00014,10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase,948,+,1001,183192.72050355407,174.94578821510294,158.73129961317395,193.24126635396,189.52894302537737,949.5,170.9758390751936,165.97038672335975
9,rsmB,HHKABJCC_00015,16S rRNA m(5)C967 methyltransferase,1290,+,631,120677.56688595674,81.04335289579876,73.53201732608886,93.54850146198197,91.75135796937442,620.5,82.11078186606369,79.70692405536069
10,trkA,HHKABJCC_00016,NAD-binding component of Trk potassium transporters,1377,+,822,161262.30096826097,98.90440361479351,89.73765349491718,117.11132967920187,114.86152491745347,809.5,100.35315361969589,97.41523600796401
11,mscL,HHKABJCC_00017,large conductance mechanosensitive channel,411,+,759,138580.64705797244,305.96919597674696,277.6110737760203,337.17918992207404,330.70170094532756,755.0,313.58352791565045,304.4031231532475
12,arfA,HHKABJCC_00018,alternative ribosome-rescue factor A,219,-,42,6029.961480577941,31.77480740069309,28.829825085408352,27.53407068757051,27.00511859119435,37.5,29.230434086304168,28.374690106138246
13,zntR,HHKABJCC_00019,DNA-binding transcriptional activator ZntR,426,-,98,13080.316176390255,38.11485113087833,34.582254973341946,30.704967550211865,30.115099922604657,73.5,29.452750063861973,28.590497608353942
14,HHKABJCC_00020,HHKABJCC_00020,hypothetical protein,369,-,133,22310.054018913783,59.71769358368741,54.18288264696664,60.46085099976635,59.29934842908217,112.0,51.81312283785862,50.296252858056654
15,rplQ,HHKABJCC_00021,50S ribosomal subunit protein L17,384,-,10034,1470223.9226597543,4329.329329329329,3928.0743932682444,3828.7081319264435,3755.1555063167057,8190.5,3641.0555287547545,3534.4607604053635
16,rpoA,HHKABJCC_00022,RNA polymerase subunit alpha,990,-,32799,5453375.037232552,5489.125489125489,4980.377244391812,5508.4596335682345,5402.637602963269,29155.0,5027.197682617572,4880.022510969344
17,rpsD,HHKABJCC_00023,30S ribosomal subunit protein S4,621,-,20729,2579355.191954413,5530.501349258637,5017.918268491645,4153.551033743016,4073.7579093759923,18766.0,5158.556882787972,5007.536067094454
18,rpsK,HHKABJCC_00024,30S ribosomal subunit protein S11,390,-,16215,2587715.1851863135,6888.586198931026,6250.13183232096,6635.167141503368,6507.700134930717,14158.0,6197.055889836779,6015.632197775895
19,rpsM,HHKABJCC_00025,30S ribosomal subunit protein S13,357,-,15800,2499583.7428405983,7332.745669459664,6653.125300822327,7001.635134007278,6867.127976521626,13909.5,6651.068408607662,6456.3531424732955
20,rpmJ,HHKABJCC_00026,50S ribosomal subunit protein L36,117,-,2091,294624.4803624954,2961.0512369133057,2686.6123263198942,2518.1579518162002,2469.7820707947008,1949.5,2844.366072711964,2761.0950156717295
21,secY,HHKABJCC_00027,Sec translocon subunit SecY,1332,-,26313,4513721.439477626,3272.9840744752205,2969.6343138932616,3388.6797593675874,3323.580439946065,24004.5,3076.3557187268616,2986.292982081325
22,rplO,HHKABJCC_00028,50S ribosomal subunit protein L15,435,-,11810,1935282.1910392512,4498.19617477168,4081.2901643486207,4448.924577101727,4363.45708454024,8804.0,3454.9271069048273,3353.7813947023815
