,gene,locus_tag,product,length,strand,counts,coverage,RPKM,TPM,coverage_FPKM,coverage_TPM,htseq_counts,htseq_FPKM,htseq_TPM
0,yrdA,HHKABJCC_00006,hexapeptide repeat-containing protein YrdA,555,+,253,50198.21402500619,75.67682548483442,70.01353385456454,90.44723247748864,86.3799957363713,249.0,73.77492777034587,73.28065661159884
1,HHKABJCC_00007,HHKABJCC_00007,hypothetical protein,258,-,141,14038.049652266203,90.72662895357598,83.937082020237,54.41104516382249,51.96428592143248,99.5,63.41701610780991,62.992140028859886
2,aroE,HHKABJCC_00008,shikimate dehydrogenase,819,-,623,114635.19682482336,126.28143626307885,116.83113762191196,139.96971529282462,133.6755484831945,549.0,110.22773201222735,109.48923737083187
3,tsaC,HHKABJCC_00009,threonylcarbamoyl-AMP synthase,573,-,495,90956.48482747153,143.41214936518247,132.67987009771224,158.73732081583165,151.59921116090806,448.0,128.5659078955879,127.70455266026015
4,yrdD,HHKABJCC_00010,putative DNA topoisomerase,543,-,780,150623.3162353821,238.46801732713752,220.62221158722218,277.39100595834645,264.9172700552597,748.0,226.5187713253114,225.00115959779552
5,HHKABJCC_00011,HHKABJCC_00011,hypothetical protein,474,-,730,130807.42326986189,255.67006758710386,236.53694268922155,275.9650279954892,263.5554155575842,563.5,195.48705665037696,194.17734863803696
6,smf,HHKABJCC_00012,protein Smf,1125,-,458,62765.68888148495,67.58468957396596,62.5269746877181,55.79172345020885,53.28287778128885,303.0,44.28865945024618,43.99193795301925
7,def,HHKABJCC_00013,peptide deformylase,510,+,1339,262577.4790662142,435.85874970880633,403.241165747116,514.857802090616,491.70564461984924,1280.0,412.70736820264347,409.94234551444845
8,fmt,HHKABJCC_00014,10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase,948,+,1216,226874.05310497922,212.94164533282074,197.00611117129685,239.31862141875445,228.55692685711963,1151.0,199.6500463217248,198.31244745552843
9,rsmB,HHKABJCC_00015,16S rRNA m(5)C967 methyltransferase,1290,+,599,117252.73803515256,77.08546204708087,71.31675479449922,90.89359537608726,86.80628656055346,586.0,74.6982340485962,74.19777699881789
10,trkA,HHKABJCC_00016,NAD-binding component of Trk potassium transporters,1377,+,893,179424.46216624984,107.65963087156365,99.60289907121803,130.30098922748718,124.44160628924334,882.0,105.32635959338297,104.62070276149987
11,mscL,HHKABJCC_00017,large conductance mechanosensitive channel,411,+,883,168282.5027107015,356.65987210626145,329.96915330810975,409.4464786148455,391.03446405422426,873.0,349.2809107832706,346.9408274281439
12,arfA,HHKABJCC_00018,alternative ribosome-rescue factor A,219,-,79,11699.05742832573,59.885040037947654,55.40353009282912,53.420353553998766,51.018143793159716,69.0,51.8092618687608,51.46215446152057
13,zntR,HHKABJCC_00019,DNA-binding transcriptional activator ZntR,426,-,159,22324.881997330263,61.961638413305266,57.32472577887927,52.405826284812825,50.04923784892836,125.0,48.2506138551176,47.92734838348388
14,HHKABJCC_00020,HHKABJCC_00020,hypothetical protein,369,-,198,35988.11941055872,89.078765947154,82.4125371989042,97.52877889040303,93.14309873243818,174.0,77.53991330941436,77.02041781197528
15,rplQ,HHKABJCC_00021,50S ribosomal subunit protein L17,384,-,5955,883756.0557932145,2574.458581892446,2381.798416169325,2301.448061961496,2197.9564032453177,4863.5,2082.6683867987344,2068.715097409781
16,rpoA,HHKABJCC_00022,RNA polymerase subunit alpha,990,-,19608,3346485.4743196247,3288.0125872526914,3041.953452949525,3380.2883578986107,3228.283342065337,17498.0,2906.4017516516947,2886.9296816004016
17,rpsD,HHKABJCC_00023,30S ribosomal subunit protein S4,621,-,11599,1927618.3822848974,3100.732605406427,2868.6886091182605,3104.0553659982243,2964.4720124202954,10470.5,2772.5427415088407,2753.96748898149
18,rpsK,HHKABJCC_00024,30S ribosomal subunit protein S11,390,-,9855,1603893.2562434268,4194.955801256097,3881.025375046998,4112.546810880582,3927.61355166846,8590.5,3622.0652038017884,3597.798390950228
19,rpsM,HHKABJCC_00025,30S ribosomal subunit protein S13,357,-,9652,1502822.985424871,4488.326738706282,4152.441834835339,4209.588194467426,4020.2911723194784,8495.5,3913.1199180419176,3886.9031208906226
20,rpmJ,HHKABJCC_00026,50S ribosomal subunit protein L36,117,-,1280,174463.83242335683,1816.1824541206843,1680.2680466971608,1491.1438668662977,1424.0900172847766,1205.0,1693.5718024100865,1682.2253501329083
21,secY,HHKABJCC_00027,Sec translocon subunit SecY,1332,-,14448,2540137.3625821075,1800.6896814968507,1665.9346790690854,1907.0100319685491,1821.2554869676028,13237.0,1634.1344024365262,1623.1861639352976
22,rplO,HHKABJCC_00028,50S ribosomal subunit protein L15,435,-,6459,1066084.800773429,2464.968622712578,2280.502161805288,2450.7696569504114,2340.563295520335,4771.5,1803.7157610690479,1791.6313754082569
23,rpmD,HHKABJCC_00029,50S ribosomal subunit protein L30,180,-,4709,477097.0653631295,4343.0172380432,4018.00660213516,2650.539252017386,2531.349639087417,2774.5,2534.63047947005,2517.6491718368793
24,rpsE,HHKABJCC_00030,30S ribosomal subunit protein S5,504,-,6863,1140451.2356762788,2260.574530889974,2091.4039461254742,2262.8000707862675,2161.0463373263137,5301.5,1729.6994937196498,1718.110996124555
25,rplR,HHKABJCC_00031,50S ribosomal subunit protein L18,354,-,4333,703377.1537177211,2031.986390191288,1879.9222484587735,1986.9411121969522,1897.5922214392901,3563.0,1655.0647510197512,1643.9762851003484
26,rplF,HHKABJCC_00032,50S ribosomal subunit protein L6,534,-,7310,1332549.6767232148,2272.5397465118763,2102.4737422440903,2495.411379631488,2383.1975664563247,6657.0,2049.933293193687,2036.1993196771693
27,rpsH,HHKABJCC_00033,30S ribosomal subunit protein S8,393,-,5035,867858.2820259414,2126.876595917272,1967.7113250816315,2208.2907939591387,2108.9882370290834,4605.0,1926.8127576183176,1913.9036568820732
28,rpsN,HHKABJCC_00034,30S ribosomal subunit protein S14,306,-,8249,1264403.4864649423,4475.2288104903455,4140.324092915062,4132.037537467132,3946.227818057031,6893.5,3704.424795188702,3679.6061963591806
