,gene,locus_tag,product,length,strand,counts,coverage,RPKM,TPM,coverage_FPKM,coverage_TPM,htseq_counts,htseq_FPKM,htseq_TPM
0,yrdA,HHKABJCC_00006,hexapeptide repeat-containing protein YrdA,555,+,209,39138.13465324274,62.76299289373671,56.12649879242222,70.5191615373743,68.39345402767093,206.0,60.91203012018279,59.46870856482564
1,HHKABJCC_00007,HHKABJCC_00007,hypothetical protein,258,-,153,14811.405135156645,98.83757170675517,88.38658886833821,57.40854703549087,55.67804178140009,104.5,66.46996061743248,64.89494289509436
2,aroE,HHKABJCC_00008,shikimate dehydrogenase,819,-,620,106988.66273769134,126.17058879561843,112.82944093609599,130.63328783600895,126.6955189386423,541.5,108.50341223664805,105.93240428629792
3,tsaC,HHKABJCC_00009,threonylcarbamoyl-AMP synthase,573,-,502,88120.51848289891,146.01566046347173,130.57611520459562,153.78799037155133,149.15225337598682,453.0,129.73955889345598,126.66535661249462
4,yrdD,HHKABJCC_00010,putative DNA topoisomerase,543,-,694,126197.47910002072,213.014900146101,190.4909244219802,232.4078804788595,225.4022501497705,656.0,198.25897053546595,193.5611884199764
5,HHKABJCC_00011,HHKABJCC_00011,hypothetical protein,474,-,508,86920.33456381748,178.62231458280465,159.7349753652668,183.37623325699892,177.84859753874198,399.0,138.14125302080905,134.86797108002352
6,smf,HHKABJCC_00012,protein Smf,1125,-,291,40330.48702962218,43.11126918576478,38.55272807004848,35.849321804108605,34.76869108026798,203.0,29.612314448717985,28.910645309411347
7,def,HHKABJCC_00013,peptide deformylase,510,+,973,183013.36351735194,317.9750221175647,284.35267140810475,358.8497323869646,348.0326784918224,930.0,299.2551337000985,292.1642292569461
8,fmt,HHKABJCC_00014,10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase,948,+,989,177470.58917001175,173.87546173463957,155.49004983882764,187.20526283756513,181.56220605137656,941.0,162.8958885871946,159.0360410855916
9,rsmB,HHKABJCC_00015,16S rRNA m(5)C967 methyltransferase,1290,+,712,133218.4571323633,91.99000137935906,82.26307356112,103.27012180803358,100.1571796137482,694.0,88.28737352822611,86.19538826640284
10,trkA,HHKABJCC_00016,NAD-binding component of Trk potassium transporters,1377,+,718,137516.0161900856,86.90421601020574,77.71505388870588,99.86638793760754,96.85604683062468,708.0,84.37779158091188,82.3784445694615
11,mscL,HHKABJCC_00017,large conductance mechanosensitive channel,411,+,630,115237.23508857234,255.47538929783863,228.46168526723747,280.38256712548014,271.93080287396293,625.0,249.5554348609643,243.6421737583433
12,arfA,HHKABJCC_00018,alternative ribosome-rescue factor A,219,-,23,3406.7210753698046,17.50386935589236,15.653028273039038,15.555803997122394,15.086894715513427,21.5,16.11102538921579,15.729271732716716
13,zntR,HHKABJCC_00019,DNA-binding transcriptional activator ZntR,426,-,84,12003.797076489807,32.863970266482525,29.38896796395449,28.177927409600485,27.32854079471966,69.0,26.58081719144446,25.950979927184445
14,HHKABJCC_00020,HHKABJCC_00020,hypothetical protein,369,-,127,22151.51853260572,57.362450618055156,51.297004283967794,60.031215535516864,58.22165338391869,111.5,49.58808514105575,48.41308650725949
15,rplQ,HHKABJCC_00021,50S ribosomal subunit protein L17,384,-,9849,1386235.9211671585,4274.755257435944,3822.7470477801585,3609.9893780394755,3501.170989341236,7976.0,3408.6527292224255,3327.884087147835
16,rpoA,HHKABJCC_00022,RNA polymerase subunit alpha,990,-,30101,4910459.505352087,5067.526998440745,4531.691922979263,4960.06010641625,4810.5456086977665,26869.0,4453.9480347212475,4348.410931586283
17,rpsD,HHKABJCC_00023,30S ribosomal subunit protein S4,621,-,18963,2452173.4931365885,5089.390641775349,4551.243727229503,3948.749586371318,3829.719716096429,17397.0,4597.392682804551,4488.45663282492
18,rpsK,HHKABJCC_00024,30S ribosomal subunit protein S11,390,-,13962,2186468.828114499,5966.6885445246635,5335.777055055681,5606.330328498715,5437.334863700805,12165.0,5118.896437125631,4997.6032614956775
19,rpsM,HHKABJCC_00025,30S ribosomal subunit protein S13,357,-,14817,2244122.687600944,6917.392310550516,6185.954385925544,6286.057948462028,6096.572987266135,13207.0,6071.063826078649,5927.208872191224
20,rpmJ,HHKABJCC_00026,50S ribosomal subunit protein L36,117,-,2100,276717.77194677654,2991.463960154179,2675.149648000986,2365.109161938261,2293.816052417441,1958.0,2746.3486022446864,2681.273376081254
21,secY,HHKABJCC_00027,Sec translocon subunit SecY,1332,-,24548,4121351.304812938,3071.5828340419625,2746.796834841269,3094.1075861958993,3000.839776590407,22506.5,2772.8895750402385,2707.185455732703
22,rplO,HHKABJCC_00028,50S ribosomal subunit protein L15,435,-,10593,1671930.5989361021,4058.6355713189337,3629.4796342518985,3843.518618243913,3727.6607973003706,7800.5,2942.808631610642,2873.0782495676476
23,rpmD,HHKABJCC_00029,50S ribosomal subunit protein L30,180,-,6963,708282.7640831636,6447.245862123716,5765.520737795266,3934.9042449064646,3816.2917242665485,4175.5,3806.841717383681,3716.6379153154894
24,rpsE,HHKABJCC_00030,30S ribosomal subunit protein S5,504,-,11646,1896441.3493456743,3851.2045972739998,3443.9821973473913,3762.780455050941,3649.3563800011016,9356.5,3046.5739371418663,2974.3848174426826
25,rplR,HHKABJCC_00031,50S ribosomal subunit protein L18,354,-,8146,1270554.2460302478,3835.2306350170365,3429.697305375404,3589.1362882210387,3480.946488528414,6743.5,3126.158091836381,3052.0832112175754
26,rplF,HHKABJCC_00032,50S ribosomal subunit protein L6,534,-,12785,2226255.0229263324,3990.339225501005,3568.404873563433,4169.016896865791,4043.3473577994328,11650.0,3580.2512522232996,3495.416552152843
27,rpsH,HHKABJCC_00033,30S ribosomal subunit protein S8,393,-,9257,1531238.8921803557,3925.798957785322,3510.6890271547063,3896.282168397852,3778.8338595308055,8471.0,3537.29245988263,3453.4756761557114
28,rpsN,HHKABJCC_00034,30S ribosomal subunit protein S14,306,-,12090,1738808.057839827,6584.991465230144,5888.701262973599,5682.379273986362,5511.091413603991,10015.0,5371.039720441732,5243.771964172608
